"CODI_ESTACIO";"NOM_ESTACIO";"CODI_TIPUS";"LATITUD";"LONGITUD";"Georeferència";"EMPLACAMENT";"ALTITUD";"CODI_MUNICIPI";"NOM_MUNICIPI";"CODI_COMARCA";"NOM_COMARCA";"CODI_PROVINCIA";"NOM_PROVINCIA";"CODI_XARXA";"NOM_XARXA";"CODI_ESTAT";"NOM_ESTAT";"DATA_ALTA";"DATA_BAIXA"
"YJ";"Lleida - la Femosa";"A";"41,58449";"0,64217";"POINT (0.64217 41.58449)";"la Gabarrera";"170";"251207";"Lleida";"33";"Segrià";"25";"Lleida";"1";"XEMA";"2";"Operativa";"21/08/2018";
"U7";"Aldover";"A";"40,85936";"0,50525";"POINT (0.50525 40.85936)";"Granges de Fabra";"53";"430069";"Aldover";"9";"Baix Ebre";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"31/12/1994";
"YY";"Viladecans - les Filipines";"A";"41,28797";"2,04487";"POINT (2.04487 41.28797)";"Zona agrícola experimental";"2";"83015";"Viladecans";"11";"Baix Llobregat";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"11/02/2026";
"YM";"Granollers";"A";"41,60929";"2,29847";"POINT (2.29847 41.60929)";"Parc del Puig de les Tres Torres";"211";"80961";"Granollers";"41";"Vallès Oriental";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"17/09/2019";
"VA";"Ascó";"A";"41,1964";"0,51101";"POINT (0.51101 41.1964)";"Camí de la Serra de les Moncas";"258";"430192";"Ascó";"30";"Ribera d'Ebre";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"15/06/1998";
"Y4";"Alinyà";"A";"42,17427";"1,42769";"POINT (1.42769 42.17427)";"Tossal de Salamó";"1.161";"259084";"Fígols i Alinyà";"4";"Alt Urgell";"25";"Lleida";"1";"XEMA";"2";"Operativa";"01/07/2014";
"Z6";"Sasseuva (2.226 m)";"A";"42,77011";"0,73198";"POINT (0.73198 42.77011)";"Sasseuva";"2.226";"250313";"Arres";"39";"Val d'Aran";"25";"Lleida";"1";"XEMA";"2";"Operativa";"20/09/2001";
"VZ";"Espolla";"A";"42,38443";"3,00739";"POINT (3.00739 42.38443)";"Llaurants. Ref. Cadastral: Pol. 5, parc.195";"84";"170643";"Espolla";"2";"Alt Empordà";"17";"Girona";"1";"XEMA";"2";"Operativa";"07/06/2000";
"VO";"Lladurs";"A";"42,08745";"1,42792";"POINT (1.42792 42.08745)";"Masia el Pla - Montpol";"786";"251240";"Lladurs";"35";"Solsonès";"25";"Lleida";"1";"XEMA";"2";"Operativa";"05/05/1998";
"D4";"Roses";"A";"42,27068";"3,18147";"POINT (3.18147 42.27068)";"Poliesportiu Municipal";"23";"171523";"Roses";"2";"Alt Empordà";"17";"Girona";"1";"XEMA";"2";"Operativa";"07/02/1996";
"YK";"Terrassa";"A";"41,55363";"1,99006";"POINT (1.99006 41.55363)";"Can Poal";"314";"82798";"Terrassa";"40";"Vallès Occidental";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"20/12/2018";
"DP";"Das - Aeròdrom";"A";"42,38603";"1,86639";"POINT (1.86639 42.38603)";"Aeròdrom de la Cerdanya";"1.096";"170617";"Das";"15";"Cerdanya";"17";"Girona";"1";"XEMA";"2";"Operativa";"22/05/2001";
"X5";"PN dels Ports";"A";"40,79705";"0,31822";"POINT (0.31822 40.79705)";"Montpublic 21 sector Cova Avellanes";"1.056";"431331";"Roquetes";"9";"Baix Ebre";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"04/01/2007";
"VJ";"Lleida - pla de Lleida";"A";"41,59957";"0,6478";"POINT (0.6478 41.59957)";"C. Pla de Lleida, 10 - Bordeta";"161";"251207";"Lleida";"33";"Segrià";"25";"Lleida";"1";"XEMA";"1";"Desmantellada";"16/09/1997";"24/07/2013"
"Y9";"Port de Barcelona - ZAL Prat (ca l'Arana)";"A";"41,31723";"2,13091";"POINT (2.13091 41.31723)";"Port de Barcelona";"4";"81691";"El Prat de Llobregat";"11";"Baix Llobregat";"8";"Barcelona";"1";"XEMA";"1";"Desmantellada";"26/06/2015";"30/11/2021"
"VN";"Vilobí d'Onyar";"A";"41,88244";"2,74262";"POINT (2.74262 41.88244)";"Camps de Can Salvà";"117";"172333";"Vilobí d'Onyar";"34";"Selva";"17";"Girona";"1";"XEMA";"1";"Desmantellada";"10/11/1998";"10/09/2024"
"Z2";"Boí (2.537 m)";"A";"42,46603";"0,88403";"POINT (0.88403 42.46603)";"Vall de Boí";"2.537";"250432";"La Vall de Boí";"5";"Alta Ribagorça";"25";"Lleida";"1";"XEMA";"2";"Operativa";"13/11/1998";
"R1";"el Pont de Vilomara";"A";"41,70637";"1,87276";"POINT (1.87276 41.70637)";"Planta de reciclatge de piles i fluorescents";"210";"81825";"El Pont de Vilomara i Rocafort";"7";"Bages";"8";"Barcelona";"1";"XEMA";"1";"Desmantellada";"02/03/2000";"01/11/2019"
"KE";"Pantà de Sau";"A";"41,96861";"2,41409";"POINT (2.41409 41.96861)";"Central hidroelèctrica de Sau";"436";"83036";"Vilanova de Sau";"24";"Osona";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"05/01/1996";
"CS";"Viladrau - centre";"A";"41,84502";"2,3881";"POINT (2.3881 41.84502)";"Mas del Torrent";"777";"172207";"Viladrau";"24";"Osona";"17";"Girona";"1";"XEMA";"1";"Desmantellada";"05/12/1995";"08/06/2004"
"J5";"Pantà de Darnius - Boadella";"A";"42,34214";"2,83425";"POINT (2.83425 42.34214)";"Presa del Pantà de Darnius - Boadella";"159";"170600";"Darnius";"2";"Alt Empordà";"17";"Girona";"1";"XEMA";"2";"Operativa";"05/01/1996";
"WP";"Canaletes";"A";"41,48518";"1,69341";"POINT (1.69341 41.48518)";"Camp del Roure - Can Feixes";"325";"81228";"Mediona";"3";"Alt Penedès";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"17/05/2002";
"XJ";"Girona";"A";"41,98215";"2,80552";"POINT (2.80552 41.98215)";"Horts de Santa Eugènia";"72";"170792";"Girona";"20";"Gironès";"17";"Girona";"1";"XEMA";"2";"Operativa";"15/09/2010";
"CF";"Lloret de Mar";"A";"41,72346";"2,84282";"POINT (2.84282 41.72346)";"Abocador municipal";"63,3";"170950";"Lloret de Mar";"34";"Selva";"17";"Girona";"1";"XEMA";"1";"Desmantellada";"05/02/1996";"16/06/2003"
"WO";"la Bisbal del Penedès";"A";"41,27151";"1,46717";"POINT (1.46717 41.27151)";"Fondo de Cal Sumoi";"185";"430287";"La Bisbal del Penedès";"12";"Baix Penedès";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"16/05/2002";
"CZ";"Ulldemolins - Zona Esportiva";"A";"41,3191";"0,87868";"POINT (0.87868 41.3191)";"Poliesportiu municipal";"631";"431573";"Ulldemolins";"29";"Priorat";"43";"Tarragona";"1";"XEMA";"1";"Desmantellada";"04/03/1996";"15/04/2008"
"X7";"Torres de Segre";"A";"41,51908";"0,55316";"POINT (0.55316 41.51908)";"Torres de Segre";"215";"252326";"Torres de Segre";"33";"Segrià";"25";"Lleida";"1";"XEMA";"2";"Operativa";"02/07/2007";
"Y5";"Navata";"A";"42,22792";"2,86242";"POINT (2.86242 42.22792)";"Can Tries";"152";"171117";"Navata";"2";"Alt Empordà";"17";"Girona";"1";"XEMA";"2";"Operativa";"26/08/2014";
"X1";"Falset";"A";"41,15374";"0,81952";"POINT (0.81952 41.15374)";"Abocador comarcal. Crta de Porrera";"358";"430555";"Falset";"29";"Priorat";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"20/12/2006";
"VD";"el Canós";"A";"41,68938";"1,20383";"POINT (1.20383 41.68938)";"Camí de la Figuerosa";"430";"259118";"Els Plans de Sió";"32";"Segarra";"25";"Lleida";"1";"XEMA";"2";"Operativa";"22/10/1988";
"ZE";"el Port del Comte (2.288 m)";"A";"42,19084";"1,53213";"POINT (1.53213 42.19084)";"Port del Comte - Estivella";"2.288";"251636";"La Coma i la Pedra";"35";"Solsonès";"25";"Lleida";"1";"XEMA";"2";"Operativa";"21/09/2023";
"YE";"Massoteres";"A";"41,79405";"1,30575";"POINT (1.30575 41.79405)";"la Creu de Massoteres";"512";"251327";"Massoteres";"32";"Segarra";"25";"Lleida";"1";"XEMA";"2";"Operativa";"17/05/2017";
"WK";"Alfarràs";"A";"41,81952";"0,57767";"POINT (0.57767 41.81952)";"Escola de Capacitació Agrària d'Alfarràs(de 1997 a 2001, és Almenar)";"269";"250138";"Alfarràs";"33";"Segrià";"25";"Lleida";"1";"XEMA";"2";"Operativa";"17/09/1997";
"U9";"l'Aldea";"A";"40,76946";"0,61635";"POINT (0.61635 40.76946)";"Barranc del Mas Roig";"64";"439044";"L'Aldea";"9";"Baix Ebre";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"03/06/1991";
"DN";"Anglès";"A";"41,96093";"2,6311";"POINT (2.6311 41.96093)";"Poliesportiu municipal";"151";"170084";"Anglès";"34";"Selva";"17";"Girona";"1";"XEMA";"2";"Operativa";"10/05/2001";
"YD";"les Borges Blanques";"A";"41,51124";"0,8561";"POINT (0.8561 41.51124)";"Escola Agrària de les Borges Blanques";"283";"250582";"Les Borges Blanques";"18";"Garrigues";"25";"Lleida";"1";"XEMA";"2";"Operativa";"25/01/2017";
"VT";"Cerdanyola del Vallès";"A";"41,48401";"2,12745";"POINT (2.12745 41.48401)";"Parc Tecnològic del Vallès. Masia Can Fatjó del Molí";"84";"82665";"Cerdanyola del Vallès";"40";"Vallès Occidental";"8";"Barcelona";"1";"XEMA";"1";"Desmantellada";"15/05/1998";"03/01/2014"
"CN";"Guardiola de Berguedà - Escola";"A";"42,22903";"1,87672";"POINT (1.87672 42.22903)";"Centre d'Assistència Primària";"719,8";"80996";"Guardiola de Berguedà";"14";"Berguedà";"8";"Barcelona";"1";"XEMA";"1";"Desmantellada";"20/02/1996";"21/03/2005"
"VF";"Alcarràs - Torrent d'Alcarràs";"A";"41,56482";"0,54999";"POINT (0.54999 41.56482)";"Partida Graminella";"122";"250117";"Alcarràs";"33";"Segrià";"25";"Lleida";"1";"XEMA";"1";"Desmantellada";"17/09/1997";"31/07/2013"
"U4";"Castellnou de Bages";"A";"41,83094";"1,84699";"POINT (1.84699 41.83094)";"Masia Can Vilaseca";"507";"80620";"Castellnou de Bages";"7";"Bages";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"22/01/1998";
"Z8";"el Port del Comte (2.316 m)";"A";"42,18254";"1,52407";"POINT (1.52407 42.18254)";"Port del Comte";"2.316";"251636";"La Coma i la Pedra";"35";"Solsonès";"25";"Lleida";"1";"XEMA";"1";"Desmantellada";"03/10/2002";"17/09/2024"
"XY";"Alcarràs";"A";"41,56505";"0,55029";"POINT (0.55029 41.56505)";"Central del revés";"125";"250117";"Alcarràs";"33";"Segrià";"25";"Lleida";"1";"XEMA";"2";"Operativa";"31/07/2013";
"U2";"Sant Pere Pescador";"A";"42,17716";"3,0968";"POINT (3.0968 42.17716)";"Mas Blanc, Mas Fages 17";"3";"171788";"Sant Pere Pescador";"2";"Alt Empordà";"17";"Girona";"1";"XEMA";"2";"Operativa";"01/05/1989";
"DF";"la Bisbal d'Empordà";"A";"41,97752";"3,03551";"POINT (3.03551 41.97752)";"Estació depuradora";"30";"170221";"La Bisbal d'Empordà";"10";"Baix Empordà";"17";"Girona";"1";"XEMA";"2";"Operativa";"25/03/1998";
"VR";"Tornabous - Montargull";"A";"41,68994";"1,04401";"POINT (1.04401 41.68994)";"Masia Mignot";"291";"252252";"Tornabous";"38";"Urgell";"25";"Lleida";"1";"XEMA";"1";"Desmantellada";"17/09/1997";"06/08/2013"
"CG";"Molló - Fabert";"A";"42,37718";"2,41452";"POINT (2.41452 42.37718)";"Veïnat de Fabert";"1.405";"171077";"Molló";"31";"Ripollès";"17";"Girona";"1";"XEMA";"2";"Operativa";"06/06/1996";
"XA";"la Panadella";"A";"41,60257";"1,4007";"POINT (1.4007 41.60257)";"La Creu del Vent";"783";"81332";"Montmaneu";"6";"Anoia";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"18/12/2008";
"WL";"Sant Martí de Riucorb";"A";"41,57236";"1,0882";"POINT (1.0882 41.57236)";"Camí de les Comes, pol. 2, parc. 137";"414";"259025";"Sant Martí de Riucorb";"38";"Urgell";"25";"Lleida";"1";"XEMA";"2";"Operativa";"05/02/2002";
"CQ";"Vilanova de Meià";"A";"41,99546";"1,02569";"POINT (1.02569 41.99546)";"Camp de fútbol";"594";"252509";"Vilanova de Meià";"23";"Noguera";"25";"Lleida";"1";"XEMA";"2";"Operativa";"01/04/1996";
"VV";"Sant Llorenç Savall";"A";"41,68136";"2,02655";"POINT (2.02655 41.68136)";"Masia Can Brossa";"530";"82233";"Sant Llorenç Savall";"40";"Vallès Occidental";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"25/03/1998";
"VX";"Tagamanent - PN del Montseny";"A";"41,7476";"2,3029";"POINT (2.3029 41.7476)";"Can Bellver - Serrat de Bellver. Parc Natural del Montseny";"1.030";"82763";"Tagamanent";"41";"Vallès Oriental";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"04/01/1996";
"DB";"el Perelló";"A";"40,87289";"0,71577";"POINT (0.71577 40.87289)";"Dipòsit d'aigua";"180";"431042";"El Perelló";"9";"Baix Ebre";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"05/02/1998";
"VB";"Benissanet";"A";"41,06303";"0,6355";"POINT (0.6355 41.06303)";"Grup Fruiter Benissanet, crta. de Mora, s/n";"34";"430265";"Benissanet";"30";"Ribera d'Ebre";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"14/07/1993";
"WV";"Guardiola de Berguedà";"A";"42,23414";"1,87485";"POINT (1.87485 42.23414)";"Monestir de Sant Llorenç prop Bagà";"787";"80996";"Guardiola de Berguedà";"14";"Berguedà";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"28/11/2005";
"YU";"Cantonigròs";"A";"42,04264";"2,40474";"POINT (2.40474 42.04264)";"Àrea d'autocaravanes";"927";"82541";"l'Esquirol";"24";"Osona";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"18/02/2025";
"UU";"Amposta";"A";"40,70776";"0,63211";"POINT (0.63211 40.70776)";"IRTA - Estació Exp. Ebre, ctra. de Balada, s/n";"3";"430141";"Amposta";"22";"Montsià";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"06/02/1992";
"V1";"Vallfogona de Balaguer";"A";"41,78487";"0,82939";"POINT (0.82939 41.78487)";"Escola de Cap. Agrària - Finca l'Empalme";"239";"252402";"Vallfogona de Balaguer";"23";"Noguera";"25";"Lleida";"1";"XEMA";"2";"Operativa";"17/10/1990";
"DD";"Vilassar de Mar";"A";"41,51175";"2,38674";"POINT (2.38674 41.51175)";"Soc.Civil d'Aigües ""La Mina Vella""";"44,5";"82191";"Vilassar de Mar";"21";"Maresme";"8";"Barcelona";"1";"XEMA";"1";"Desmantellada";"04/05/1998";"16/01/2015"
"CT";"el Pont de Suert";"A";"42,39809";"0,74364";"POINT (0.74364 42.39809)";"Depuradora municipal";"824";"251734";"El Pont de Suert";"5";"Alta Ribagorça";"25";"Lleida";"1";"XEMA";"2";"Operativa";"14/02/1996";
"CY";"Muntanyola";"A";"41,8781";"2,17875";"POINT (2.17875 41.8781)";"Esglèsia de St. Quirze i Sta. Julita";"816";"81290";"Muntanyola";"24";"Osona";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"12/01/1996";
"DC";"Olot - pla de Baix";"A";"42,19144";"2,48263";"POINT (2.48263 42.19144)";"Heliport Mossos d'Esquadra";"421,5";"171143";"Olot";"19";"Garrotxa";"17";"Girona";"1";"XEMA";"1";"Desmantellada";"24/04/1998";"21/07/2016"
"CC";"Orís";"A";"42,07397";"2,20865";"POINT (2.20865 42.07397)";"Abocador comarcal";"627";"81509";"Orís";"24";"Osona";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"15/11/1995";
"WN";"Montserrat - Sant Dimes";"A";"41,59539";"1,8375";"POINT (1.8375 41.59539)";"Ermita de Sant Dimes";"918";"81271";"Monistrol de Montserrat";"7";"Bages";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"02/01/2003";
"U6";"Vinyols i els Arcs - Cambrils";"A";"41,08015";"1,06661";"POINT (1.06661 41.08015)";"Casa Sant Josep - Escola la Salle";"30";"431785";"Vinyols i els Arcs";"8";"Baix Camp";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"17/05/1989";
"YC";"la Pobla de Segur";"A";"42,24385";"0,96801";"POINT (0.96801 42.24385)";"Horta de les Feixes";"508";"251713";"La Pobla de Segur";"25";"Pallars Jussà";"25";"Lleida";"1";"XEMA";"2";"Operativa";"18/11/2016";
"UV";"Mas de Barberans - Mitanplana";"A";"40,71727";"0,41633";"POINT (0.41633 40.71727)";"Finca del Sifonero";"205";"430770";"Mas de Barberans";"22";"Montsià";"43";"Tarragona";"1";"XEMA";"1";"Desmantellada";"17/11/1992";"03/01/2011"
"CI";"Sant Pau de Segúries";"A";"42,25835";"2,36426";"POINT (2.36426 42.25835)";"Estació meteorològica municipal";"853";"171772";"Sant Pau de Segúries";"31";"Ripollès";"17";"Girona";"1";"XEMA";"2";"Operativa";"24/11/1995";
"Z4";"Ulldeter (2.364 m)";"A";"42,42205";"2,2524";"POINT (2.2524 42.42205)";"Ulldeter";"2.364";"171925";"Setcases";"31";"Ripollès";"17";"Girona";"1";"XEMA";"1";"Desmantellada";"08/11/2000";"20/09/2011"
"W9";"la Vall d'en Bas";"A";"42,14557";"2,4545";"POINT (2.4545 42.14557)";"Escola Verntallat";"461";"172076";"La Vall d'en Bas";"19";"Garrotxa";"17";"Girona";"1";"XEMA";"2";"Operativa";"16/03/2000";
"XN";"Seròs";"A";"41,46373";"0,42766";"POINT (0.42766 41.46373)";"EDAR Aitona-Seròs";"89";"252043";"Seròs";"33";"Segrià";"25";"Lleida";"1";"XEMA";"2";"Operativa";"15/12/2011";
"WH";"Bellvís";"A";"41,67342";"0,8129";"POINT (0.8129 41.67342)";"Molí de Balaguer, crta. de Térmens";"196";"250523";"Bellvís";"27";"Pla d'Urgell";"25";"Lleida";"1";"XEMA";"1";"Desmantellada";"17/09/1997";"17/11/2004"
"C7";"Tàrrega";"A";"41,66696";"1,16229";"POINT (1.16229 41.66696)";"Abocador comarcal";"429";"252173";"Tàrrega";"38";"Urgell";"25";"Lleida";"1";"XEMA";"2";"Operativa";"06/11/1995";
"UO";"Fornells de la Selva";"A";"41,91461";"2,82071";"POINT (2.82071 41.91461)";"La Torre de Reset";"97";"170736";"Fornells de la Selva";"20";"Gironès";"17";"Girona";"1";"XEMA";"2";"Operativa";"10/11/1998";
"CX";"Vic - 1";"A";"41,93582";"2,23857";"POINT (2.23857 41.93582)";"Estadi d'atletisme";"497,8";"82981";"Vic";"24";"Osona";"8";"Barcelona";"1";"XEMA";"1";"Desmantellada";"18/01/1996";"01/01/2003"
"XD";"Ulldemolins";"A";"41,31999";"0,8857";"POINT (0.8857 41.31999)";"Pigrossos";"687";"431573";"Ulldemolins";"29";"Priorat";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"17/04/2008";
"KP";"Fogars de la Selva";"A";"41,73892";"2,69438";"POINT (2.69438 41.73892)";"Can Simó";"42";"80826";"Fogars de la Selva";"34";"Selva";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"05/01/1996";
"WD";"Batea - Granja de Pere el Sec";"A";"41,08671";"0,31884";"POINT (0.31884 41.08671)";"Clos Cóssos";"382";"430228";"Batea";"37";"Terra Alta";"43";"Tarragona";"1";"XEMA";"1";"Desmantellada";"23/12/1999";"31/07/2025"
"WW";"Artés";"A";"41,79424";"1,93683";"POINT (1.93683 41.79424)";"Artés";"287";"80109";"Artés";"7";"Bages";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"16/02/2006";
"VS";"Lac Redon (2.245 m)";"A";"42,63836";"0,7789";"POINT (0.7789 42.63836)";"Lac Redon - Tuc deth Pòrt de Vielha";"2.245";"252430";"Vielha e Mijaran";"39";"Val d'Aran";"25";"Lleida";"1";"XEMA";"2";"Operativa";"15/07/1999";
"CV";"la Pobla de Segur - Bombers";"A";"42,23939";"0,96434";"POINT (0.96434 42.23939)";"Parc de Bombers";"513,3";"251713";"La Pobla de Segur";"25";"Pallars Jussà";"25";"Lleida";"1";"XEMA";"1";"Desmantellada";"22/12/1995";"18/11/2016"
"WG";"Algerri";"A";"41,80106";"0,64801";"POINT (0.64801 41.80106)";"Comunitat de regants d'Algerri, ctra. d'Albesa, s/n";"301";"250156";"Algerri";"23";"Noguera";"25";"Lleida";"1";"XEMA";"2";"Operativa";"13/12/2000";
"V8";"el Poal";"A";"41,6728";"0,87743";"POINT (0.87743 41.6728)";"Finca el Molinet, c. Afores, s/n";"224";"251689";"El Poal";"27";"Pla d'Urgell";"25";"Lleida";"1";"XEMA";"2";"Operativa";"14/09/1989";
"UA";"l'Ametlla de Mar";"A";"40,9091";"0,76943";"POINT (0.76943 40.9091)";"Caseta d'en Butxaca";"94";"430136";"L'Ametlla de Mar";"9";"Baix Ebre";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"29/08/1995";
"CD";"la Seu d'Urgell - Bellestar";"A";"42,37083";"1,43279";"POINT (1.43279 42.37083)";"Abocador comarcal";"849";"252038";"La Seu d'Urgell";"4";"Alt Urgell";"25";"Lleida";"1";"XEMA";"2";"Operativa";"16/01/1996";
"D2";"Vacarisses";"A";"41,59251";"1,91499";"POINT (1.91499 41.59251)";"Planta potabilitzadora";"343";"82917";"Vacarisses";"40";"Vallès Occidental";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"15/02/1996";
"CJ";"Organyà";"A";"42,21622";"1,33133";"POINT (1.33133 42.21622)";"Càmping municipal";"568";"251556";"Organyà";"4";"Alt Urgell";"25";"Lleida";"1";"XEMA";"2";"Operativa";"16/01/1996";
"Z3";"Malniu (2.229 m)";"A";"42,46605";"1,7785";"POINT (1.7785 42.46605)";"Estany de Malniu";"2.229";"170998";"Meranges";"15";"Cerdanya";"17";"Girona";"1";"XEMA";"2";"Operativa";"03/11/1999";
"X6";"Baldomar";"A";"41,92173";"1,02901";"POINT (1.02901 41.92173)";"Baldomar";"366";"250349";"Artesa de Segre";"23";"Noguera";"25";"Lleida";"1";"XEMA";"2";"Operativa";"24/10/2006";
"DL";"Illa de Buda";"A";"40,70717";"0,83447";"POINT (0.83447 40.70717)";"Mas de Buda";"1";"439023";"Sant Jaume d'Enveja";"22";"Montsià";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"14/07/1999";
"VQ";"Constantí";"A";"41,1713";"1,16774";"POINT (1.16774 41.1713)";"IRTA - Centre de Mas Bové. Apt. correus 415";"113";"430477";"Constantí";"36";"Tarragonès";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"29/05/1990";
"YP";"Palafrugell";"A";"41,90694";"3,16073";"POINT (3.16073 41.90694)";"Horts urbans";"35";"171175";"Palafrugell";"10";"Baix Empordà";"17";"Girona";"1";"XEMA";"2";"Operativa";"02/12/2021";
"WZ";"Cunit";"A";"41,20187";"1,63346";"POINT (1.63346 41.20187)";"-";"18";"430516";"Cunit";"12";"Baix Penedès";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"27/06/2006";
"Z9";"Cadí Nord (2.145 m) - Prat d'Aguiló";"A";"42,29265";"1,71498";"POINT (1.71498 42.29265)";"Cadí Nord - Prat d'Aguiló";"2.145";"251399";"Montellà i Martinet";"15";"Cerdanya";"25";"Lleida";"1";"XEMA";"2";"Operativa";"06/11/2003";
"UE";"Torroella de Montgrí";"A";"42,02306";"3,15719";"POINT (3.15719 42.02306)";"la Feixa Gata";"4";"171997";"Torroella de Montgrí";"10";"Baix Empordà";"17";"Girona";"1";"XEMA";"2";"Operativa";"09/06/1999";
"UY";"Os de Balaguer - el Monestir d'Avellanes";"A";"41,87912";"0,76103";"POINT (0.76103 41.87912)";"Quatre Vents - Monestir de les Avellanes";"577";"251569";"Os de Balaguer";"23";"Noguera";"25";"Lleida";"1";"XEMA";"2";"Operativa";"07/07/1995";
"MQ";"Cardona";"A";"41,92044";"1,69586";"POINT (1.69586 41.92044)";"Boca nord del túnel de desviament del Cardener";"402";"80478";"Cardona";"7";"Bages";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"16/01/2003";
"XF";"Sabadell - Parc Agrari";"A";"41,56568";"2,06955";"POINT (2.06955 41.56568)";"Parc Agrari";"259";"81878";"Sabadell";"40";"Vallès Occidental";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"23/10/2008";
"VH";"Gimenells";"A";"41,65825";"0,3932";"POINT (0.3932 41.65825)";"IRTA - Estació de Gimenells";"260";"259123";"Gimenells i el Pla de la Font";"33";"Segrià";"25";"Lleida";"1";"XEMA";"2";"Operativa";"10/12/1996";
"V3";"Gurb";"A";"41,95224";"2,23271";"POINT (2.23271 41.95224)";"Masia Can Borra";"509";"81000";"Gurb";"24";"Osona";"8";"Barcelona";"1";"XEMA";"1";"Desmantellada";"31/03/1999";"15/11/2022"
"XV";"Sant Cugat del Vallès - CAR";"A";"41,48318";"2,07947";"POINT (2.07947 41.48318)";"Centre d'Alt Rendiment";"157";"82055";"Sant Cugat del Vallès";"40";"Vallès Occidental";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"08/08/2013";
"CU";"Vielha";"A";"42,69856";"0,79397";"POINT (0.79397 42.69856)";"Prat de Tixineret";"1.002";"252430";"Vielha e Mijaran";"39";"Val d'Aran";"25";"Lleida";"1";"XEMA";"1";"Desmantellada";"15/02/1996";"01/06/2022"
"DH";"Badalona - Mas Ram";"A";"41,47638";"2,25213";"POINT (2.25213 41.47638)";"Urb. Mas Ram - Escola Pere Vergès";"126";"80155";"Badalona";"13";"Barcelonès";"8";"Barcelona";"1";"XEMA";"1";"Desmantellada";"23/03/1998";"08/09/2005"
"MV";"Guixers - Valls";"A";"42,13595";"1,67297";"POINT (1.67297 42.13595)";"Cal Teuler";"845";"251116";"Guixers";"35";"Solsonès";"25";"Lleida";"1";"XEMA";"2";"Operativa";"17/06/2015";
"AN";"Barcelona - Av. Lluís Companys";"A";"41,39004";"2,18091";"POINT (2.18091 41.39004)";"Av. Lluís Companys (Ciutadella)";"7,5";"80193";"Barcelona";"13";"Barcelonès";"8";"Barcelona";"1";"XEMA";"1";"Desmantellada";"11/05/1992";"29/10/2002"
"UT";"Port de les Cases d'Alcanar";"A";"40,55219";"0,53252";"POINT (0.53252 40.55219)";"Port de les Cases d'Alcanar";"3";"430043";"Alcanar";"22";"Montsià";"43";"Tarragona";"1";"XEMA";"1";"Desmantellada";"31/08/1993";"11/11/2001"
"D3";"Vallirana";"A";"41,38199";"1,93565";"POINT (1.93565 41.38199)";"C. Arquitecte Baldric";"255";"82956";"Vallirana";"11";"Baix Llobregat";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"28/10/1995";
"CE";"els Hostalets de Pierola";"A";"41,53107";"1,80814";"POINT (1.80814 41.53107)";"Abocador de residus";"318";"81629";"Els Hostalets de Pierola";"6";"Anoia";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"31/03/1996";
"XZ";"Torroella de Fluvià";"A";"42,18138";"3,06207";"POINT (3.06207 42.18138)";;"7";"171984";"Torroella de Fluvià";"2";"Alt Empordà";"17";"Girona";"1";"XEMA";"2";"Operativa";"08/04/2014";
"YH";"Pujalt";"A";"41,71735";"1,42404";"POINT (1.42404 41.71735)";"Observatori de Pujalt";"748";"81764";"Pujalt";"6";"Anoia";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"06/04/2018";
